,ID,Type,Time,TissueSource,Source
1,1,K,T1,D,0.853297443
2,1,U,T1,D,0.146702557
3,1,K,T2,D,0.671527245
4,1,U,T2,D,0.328472755
5,1,K,T3,L,0.120385233
6,1,U,T3,L,0.879614767
7,1,K,T4,L,0.133898305
8,1,U,T4,L,0.866101695
9,2,K,T1,D,0.789684126
10,2,U,T1,D,0.210315874
11,2,K,T2,D,0.690713738
12,2,U,T2,D,0.309286262
13,2,K,T3,L,0.107544141
14,2,U,T3,L,0.892455859
15,2,K,T4,L,0.246179966
16,2,U,T4,L,0.753820034
17,3,K,T1,D,NA
18,3,U,T1,D,NA
19,3,K,T2,D,0.116521739
20,3,U,T2,D,0.883478261
21,3,K,T3,L,0.078988942
22,3,U,T3,L,0.921011058
23,3,K,T4,L,NA
24,3,U,T4,L,NA
25,4,K,T1,D,0.930551817
26,4,U,T1,D,0.069448183
27,4,K,T2,D,NA
28,4,U,T2,D,NA
29,4,K,T3,L,NA
30,4,U,T3,L,NA
31,4,K,T4,L,NA
32,4,U,T4,L,NA
33,5,K,T1,D,0.863795424
34,5,U,T1,D,0.136204576
35,5,K,T2,D,0.006149116
36,5,U,T2,D,0.993850884
37,5,K,T3,L,0.038772213
38,5,U,T3,L,0.961227787
39,5,K,T4,L,0.251264755
40,5,U,T4,L,0.748735245
41,6,K,T1,D,NA
42,6,U,T1,D,NA
43,6,K,T2,D,NA
44,6,U,T2,D,NA
45,6,K,T3,L,0.1312
46,6,U,T3,L,0.8688
47,6,K,T4,L,NA
48,6,U,T4,L,NA
49,7,K,T1,D,0.764199192
50,7,U,T1,D,0.235800808
51,7,K,T2,D,NA
52,7,U,T2,D,NA
53,7,K,T3,L,0.006349206
54,7,U,T3,L,0.993650794
55,7,K,T4,L,0.10720268
56,7,U,T4,L,0.89279732
57,8,K,T1,D,0.948317631
58,8,U,T1,D,0.051682369
59,8,K,T2,D,0.306216424
60,8,U,T2,D,0.693783576
61,8,K,T3,L,0.323671498
62,8,U,T3,L,0.676328502
63,8,K,T4,L,0.271646859
64,8,U,T4,L,0.728353141
65,9,K,T1,D,0.772934828
66,9,U,T1,D,0.227065172
67,9,K,T2,D,NA
68,9,U,T2,D,NA
69,9,K,T3,L,NA
70,9,U,T3,L,NA
71,9,K,T4,L,NA
72,9,U,T4,L,NA
73,10,K,T1,D,0.887483176
74,10,U,T1,D,0.112516824
75,10,K,T2,D,0.417498081
76,10,U,T2,D,0.582501919
77,10,K,T3,L,0.060162602
78,10,U,T3,L,0.939837398
79,10,K,T4,L,0.484589041
80,10,U,T4,L,0.515410959
81,11,K,T1,D,0.715477793
82,11,U,T1,D,0.284522207
83,11,K,T2,D,0.001537279
84,11,U,T2,D,0.998462721
85,11,K,T3,L,0.071428571
86,11,U,T3,L,0.928571429
87,11,K,T4,L,NA
88,11,U,T4,L,NA
89,12,K,T1,D,0.608613728
90,12,U,T1,D,0.391386272
91,12,K,T2,D,0.549501151
92,12,U,T2,D,0.450498849
93,12,K,T3,L,NA
94,12,U,T3,L,NA
95,12,K,T4,L,0.584459459
96,12,U,T4,L,0.415540541
97,13,K,T1,D,0.735935397
98,13,U,T1,D,0.264064603
99,13,K,T2,D,0.093904448
100,13,U,T2,D,0.906095552
101,13,K,T3,L,0.1536
102,13,U,T3,L,0.8464
103,13,K,T4,L,NA
104,13,U,T4,L,NA
105,14,K,T1,D,0.796769852
106,14,U,T1,D,0.203230148
107,14,K,T2,D,0
108,14,U,T2,D,1
109,14,K,T3,L,0.006482982
110,14,U,T3,L,0.993517018
111,14,K,T4,L,0.02739726
112,14,U,T4,L,0.97260274
113,15,K,T1,D,NA
114,15,U,T1,D,NA
115,15,K,T2,D,0.001534919
116,15,U,T2,D,0.998465081
117,15,K,T3,L,0.042345277
118,15,U,T3,L,0.957654723
119,15,K,T4,L,0.061120543
120,15,U,T4,L,0.938879457
121,16,K,T1,D,0.869717362
122,16,U,T1,D,0.130282638
123,16,K,T2,D,0.049117421
124,16,U,T2,D,0.950882579
125,16,K,T3,L,0.196110211
126,16,U,T3,L,0.803889789
127,16,K,T4,L,0.024137931
128,16,U,T4,L,0.975862069
129,17,K,T1,D,NA
130,17,U,T1,D,NA
131,17,K,T2,D,0
132,17,U,T2,D,1
133,17,K,T3,L,0.170692432
134,17,U,T3,L,0.829307568
135,17,K,T4,L,0.138983051
136,17,U,T4,L,0.861016949
137,18,K,T1,D,0.090809628
138,18,U,T1,D,0.909190372
139,18,K,T2,D,0
140,18,U,T2,D,1
141,18,K,T3,L,0.032102729
142,18,U,T3,L,0.967897271
143,18,K,T4,L,0.036020583
144,18,U,T4,L,0.963979417
145,19,K,T1,D,0.664083458
146,19,U,T1,D,0.335916542
147,19,K,T2,D,0.73599386
148,19,U,T2,D,0.26400614
149,19,K,T3,L,0.2431562
150,19,U,T3,L,0.7568438
151,19,K,T4,L,NA
152,19,U,T4,L,NA
153,20,K,T1,D,0.434279097
154,20,U,T1,D,0.565720903
155,20,K,T2,D,0.025949954
156,20,U,T2,D,0.974050046
157,20,K,T3,L,0.04340836
158,20,U,T3,L,0.95659164
159,20,K,T4,L,NA
160,20,U,T4,L,NA
161,21,K,T1,D,0.257065949
162,21,U,T1,D,0.742934051
163,21,K,T2,D,0.034535687
164,21,U,T2,D,0.965464313
165,21,K,T3,L,0.057692308
166,21,U,T3,L,0.942307692
167,21,K,T4,L,0.569256757
168,21,U,T4,L,0.430743243
169,22,K,T1,D,0.490298507
170,22,U,T1,D,0.509701493
171,22,K,T2,D,NA
172,22,U,T2,D,NA
173,22,K,T3,L,0.018181818
174,22,U,T3,L,0.981818182
175,22,K,T4,L,NA
176,22,U,T4,L,NA
177,23,K,T1,D,0.603499327
178,23,U,T1,D,0.396500673
179,23,K,T2,D,0.095165004
180,23,U,T2,D,0.904834996
181,23,K,T3,L,0.042003231
182,23,U,T3,L,0.957996769
183,23,K,T4,L,0.011904762
184,23,U,T4,L,0.988095238
185,24,K,T1,D,0.964468371
186,24,U,T1,D,0.035531629
187,24,K,T2,D,0.082426128
188,24,U,T2,D,0.917573872
189,24,K,T3,L,0.163097199
190,24,U,T3,L,0.836902801
191,24,K,T4,L,0.02529511
192,24,U,T4,L,0.97470489
