site,manager,plotID,managerPlotName,FHBresistance,block,species,variety,Lat.deg,Long.deg,lat,long,harvestWeight.lbs,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,harvestLength,FHBSeverity,FgTa.Mean,FgTa.SD,FgTa.CV,DON.Mean.R1,DON.CV.R1,DON.Mean.R2,DON.CV.R2,harvestMethod
Urbana,Allen,P_01,,8,1,Triticum aestivum,AgriMaxx-495,N40 04.866',W088 13.453',40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_02,,5,1,Triticum aestivum,AgriMaxx-492,N40 04.862',W088 13.454',40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_03,,9,1,Triticum aestivum,AgriMaxx-505,N40 04.858',W088 13.453',40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_04,,5,2,Triticum aestivum,AgriMaxx-492,N40 04.853',W088 13.453',40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_05,,8,2,Triticum aestivum,AgriMaxx-495,N40 04.848',W088 13.452',40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_06,,9,2,Triticum aestivum,AgriMaxx-505,N40 04.842',W088 13.452',40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_07,,9,3,Triticum aestivum,AgriMaxx-505,N40 04.837',W088 13.453',40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_08,,5,3,Triticum aestivum,AgriMaxx-492,N40 04.833',W088 13.452',40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_09,,8,3,Triticum aestivum,AgriMaxx-495,N40 04.828',W088 13.453',40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_10,,8,4,Triticum aestivum,AgriMaxx-495,N40 04.823',W088 13.453',40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_11,,9,4,Triticum aestivum,AgriMaxx-505,N40 04.818',W088 13.453',40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_12,,5,4,Triticum aestivum,AgriMaxx-492,N40 04.813',W088 13.453',40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554,"2x ~50ft length x5ft wide strips, continuous"
Ewing,Talon,P_13,101,5,1,Triticum aestivum,AgriMaxx-492,N38 05.788',W088 50.742',38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_14,102,8,1,Triticum aestivum,AgriMaxx-495,N38 05.788',W088 50.738',38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_15,103,9,1,Triticum aestivum,AgriMaxx-505,N38 05.788',W088 50.734',38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_16,201,8,2,Triticum aestivum,AgriMaxx-495,N38 05.788',W088 50.730',38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_17,202,5,2,Triticum aestivum,AgriMaxx-492,N38 05.788',W088 50.725',38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_18,203,9,2,Triticum aestivum,AgriMaxx-505,N38 05.788',W088 50.721',38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,,,0.213030026,57.15874276,0.240690066,223.6067977,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_19,301,9,3,Triticum aestivum,AgriMaxx-505,N38 05.788',W088 50.717',38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_20,302,8,3,Triticum aestivum,AgriMaxx-495,N38 05.788',W088 50.713',38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_21,303,5,3,Triticum aestivum,AgriMaxx-492,N38 05.788',W088 50.709',38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_22,401,8,4,Triticum aestivum,AgriMaxx-495,N38 05.788',W088 50.705',38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_23,402,9,4,Triticum aestivum,AgriMaxx-505,N38 05.787',W088 50.701',38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
Ewing,Talon,P_24,403,5,4,Triticum aestivum,AgriMaxx-492,N38 05.788',W088 50.697',38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739,"whole plot 20ft wide x 87ft long, skip north end ~13ft, continuous"
